ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
OPEN,2025-07-24 13:30:00+00:00,2025-07-24 13:30:00+00:00,2.4687,2.3935,-3.548,-125.15,stop,0.2597,0,17920.51,2025-07-24 13:30:00+00:00,2025-07
IOVA,2025-07-24 13:30:00+00:00,2025-07-24 13:30:00+00:00,3.7969,3.6811,-3.548,-125.15,stop,0.1766,0,17795.36,2025-07-24 13:30:00+00:00,2025-07
ALMS,2025-07-24 14:30:00+00:00,2025-07-24 14:30:00+00:00,3.982,3.8606,-3.548,-126.29,stop,0.204,0,17669.06,2025-07-24 14:30:00+00:00,2025-07
IOVA,2025-07-24 14:30:00+00:00,2025-07-24 15:30:00+00:00,3.6118,3.5017,-3.548,-126.29,stop,0.1837,0,17542.77,2025-07-24 14:30:00+00:00,2025-07
LUNR,2025-07-24 14:30:00+00:00,2025-07-24 15:30:00+00:00,13.2666,12.8622,-3.548,-126.29,stop,0.1837,0,17416.48,2025-07-24 14:30:00+00:00,2025-07
GHRS,2025-07-24 14:30:00+00:00,2025-07-25 13:30:00+00:00,14.022,14.4878,2.822,100.42,timeout,0.1837,1,16902.66,2025-07-24 14:30:00+00:00,2025-07
LWLG,2025-07-24 15:30:00+00:00,2025-07-25 13:30:00+00:00,2.5903,2.5113,-3.549,-125.4,stop,0.204,0,16777.26,2025-07-24 15:30:00+00:00,2025-07
OPEN,2025-07-24 16:30:00+00:00,2025-07-24 16:30:00+00:00,2.6903,2.6083,-3.549,-123.6,stop,0.2275,0,17166.89,2025-07-24 16:30:00+00:00,2025-07
IOVA,2025-07-24 16:30:00+00:00,2025-07-24 16:30:00+00:00,3.4767,3.3707,-3.548,-123.6,stop,0.1837,0,17043.29,2025-07-24 16:30:00+00:00,2025-07
OPEN,2025-07-24 17:30:00+00:00,2025-07-24 18:30:00+00:00,2.5663,2.488,-3.548,-120.96,stop,0.2597,0,16922.33,2025-07-24 17:30:00+00:00,2025-07
